tau,accepted_loss_mass,selective_risk,coverage,selective_acc,abstention_rate
0.0,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.005,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.01,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.015,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.02,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.025,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.03,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.035,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.04,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.045,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.05,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.055,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.06,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.065,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.07,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.075,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.08,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.085,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.09,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.095,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.1,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.105,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.11,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.115,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.12,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.125,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.13,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.135,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.14,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.145,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
0.15,0.08929812908172607,0.08929812622070313,1.0,0.9146,0.0
